category,year,Age 15-19,Age 20-24,Age 25-29
Non-immigrants,2016,667380,639795,653410
Immigrants,2016,109345,152735,222375
Economic immigrants,2016,64575,93010,132680
Immigrants sponsored by family,2016,15955,26195,49600
Refugees,2016,26365,30440,36930
Other immigrants,2016,2440,3085,3170
Non-permanent residents,2016,22575,96075,93385
Non-immigrants,2021,666670,690205,618470
Immigrants,2021,122685,152585,208975
Economic immigrants,2021,77630,91310,105640
Immigrants sponsored by family,2021,20430,29665,62235
Refugees,2021,22360,29510,38570
Other immigrants,2021,2270,2100,2530
Non-permanent residents,2021,17870,45790,41205
